,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
"Exports of goods (table 1.1, line 3)",404114,410882,412816,407751,384234,385715,376958,364474,353872,360934,370377,372210,381680,381677,387127,403106,410732,427088,419545,416964,419100,414554
    General merchandise,397473,406929,407701,400508,378672,380878,370852,359392,349582,356831,364513,365626,375453,375941,382140,398301,404218,421770,413442,412683,414383,410315
    Net exports of goods under merchanting,75,64,103,56,81,41,74,65,50,77,86,87,51,47,47,65,65,69,68,68,92,73
    Nonmonetary gold,6566,3889,5012,7187,5481,4796,6032,5017,4240,4026,5779,6497,6176,5689,4940,4740,6450,5249,6034,4214,4625,4165
"  General merchandise, all end-use commodities (line 2)",397473,406929,407701,400508,378672,380878,370852,359392,349582,356831,364513,365626,375453,375941,382140,398301,404218,421770,413442,412683,414383,410315
"    Foods, feeds, and beverages",37755,36630,33573,35763,33717,32672,30927,30405,29741,30477,36672,33625,33153,33053,33682,32848,32087,37273,33829,29988,32737,35206
      Agricultural,35675,34441,31493,33666,31652,30618,28843,28378,27731,28487,34654,31657,31226,30957,31502,30511,29872,35012,31654,28031,30666,33257
        Grains and preparations,8194,9336,7988,7267,7558,7295,7322,6133,5992,7058,7994,6867,7578,7222,6585,6174,7044,8305,7709,7820,6855,7042
          Wheat,2041,2269,1889,1709,1630,1394,1438,1330,1197,1278,1492,1570,1547,1815,1487,1371,1332,1249,1290,1715,1629,1715
          Corn,2786,3823,3081,2247,2436,2692,2581,1674,2020,2927,3416,2510,3059,2790,2323,1973,2587,4053,3602,3283,2570,2445
          Rice and other food grains,559,544,430,596,502,505,573,551,454,487,479,496,502,441,399,492,504,389,372,548,456,509
          Other feeds,2808,2699,2588,2714,2990,2704,2730,2577,2320,2367,2608,2291,2470,2177,2377,2338,2620,2613,2445,2273,2199,2374
        Soybeans,8176,5464,4153,7331,5528,4745,4188,5299,4708,3829,8684,6396,5304,5559,6319,5047,3507,7591,5419,1635,4539,7089
        Meat products and poultry,4882,5056,5165,4967,4552,4380,3881,3813,3878,4158,4325,4523,4539,4542,4750,5006,5126,5055,4910,4814,4801,5053
"        Vegetables, fruits, nuts, and preparations",6171,6379,6363,6282,6386,6596,6184,5752,5927,6230,6228,6107,6097,6133,6408,6500,6538,6189,5997,6082,6519,6261
"        Other agricultural foods, feeds, and beverages",8253,8206,7824,7820,7627,7603,7269,7381,7227,7213,7423,7764,7708,7501,7440,7785,7658,7873,7621,7680,7953,7812
      Nonagricultural,2079,2190,2081,2097,2065,2054,2084,2027,2009,1990,2018,1968,1927,2096,2180,2337,2214,2260,2174,1957,2070,1949
        Fish and shellfish,1474,1568,1442,1494,1461,1435,1481,1398,1429,1411,1413,1388,1307,1482,1532,1620,1510,1513,1492,1317,1441,1346
"        Distilled beverages and other nonagricultural foods, feeds, and beverages",605,622,639,603,604,619,602,628,580,580,605,581,620,614,648,717,705,747,682,640,629,603
    Industrial supplies and materials,124012,127794,128990,119881,107666,110749,103941,95785,91259,96572,98907,100861,110018,110215,111622,124368,126406,136177,135990,136077,130689,132798
      Agricultural,5465,5097,4717,4450,4608,5021,4672,3888,3834,3884,4655,4624,4963,4759,4624,4813,5111,5352,5003,4867,4699,4821
        Raw cotton,1349,1091,903,1068,1076,1130,915,781,596,762,1237,1372,1520,1455,1430,1441,1751,1804,1530,1473,1411,1577
"        Tobacco, unmanufactured",307,275,248,287,311,287,376,156,379,229,275,233,270,324,317,175,206,348,329,161,214,234
"        Hides and skins, including furskins",801,728,712,690,646,718,586,493,500,458,493,515,489,469,493,467,426,372,338,326,307,247
        Other agricultural industrial supplies,3007,3002,2853,2404,2575,2886,2795,2458,2359,2435,2649,2504,2684,2510,2383,2730,2728,2828,2806,2906,2766,2763
      Nonagricultural,118547,122697,124273,115431,103058,105728,99269,91897,87426,92689,94253,96237,105055,105457,106998,119555,121295,130825,130986,131210,125990,127976
        Energy products,45648,48257,48860,40593,32207,35263,31045,27092,23958,29015,28795,30967,37536,38322,38579,46347,47839,55813,56374,57659,53445,56817
          Petroleum and products,39549,42491,44123,35925,27611,30902,27596,23919,21148,25999,25515,26571,31569,32466,32970,40482,40901,48817,49597,50018,46006,49336
            Crude,2145,2989,3381,3103,1833,2445,1931,1670,1721,2486,2776,2359,4352,4767,4877,8344,9292,12326,12664,13919,14172,16797
            Fuel oil,15965,18179,18157,13586,9974,12259,10234,8603,6664,9129,9073,8671,9591,11036,10959,11313,10118,13601,12681,12446,10650,12272
            Other petroleum products,18936,18732,19551,16706,13895,14121,13305,11698,10898,11962,11575,12586,13841,13449,13589,15870,17275,18235,18795,18441,17031,15290
            Liquified petroleum gases,2503,2591,3034,2529,1909,2076,2126,1948,1865,2421,2090,2956,3784,3214,3546,4955,4217,4655,5457,5212,4154,4977
          Coal and related products,3368,2967,2796,2746,2538,2408,2113,1797,1644,1675,1694,2717,3454,3369,3498,3488,4035,4300,3992,4153,3658,3957
          Natural gas,2123,2563,1613,1373,1400,1296,1048,1028,898,1025,1254,1434,2258,2027,1727,2128,2511,2260,2488,3137,3398,3241
          Nuclear fuel and electric energy,608,236,328,550,659,657,287,348,268,317,331,245,256,460,384,250,391,436,297,351,382,284
        Paper and paper-base stocks,5604,5652,5634,5615,5449,5544,5431,5318,5212,5169,5185,5258,5420,5303,5510,5817,5742,5901,5936,5839,5727,5380
        Textile supplies and related materials,3746,3781,3839,3840,3649,3656,3533,3529,3425,3272,3365,3374,3421,3341,3377,3409,3424,3476,3414,3335,3398,3260
        Chemicals except medicinals,29070,30135,29972,29998,28307,28528,28091,26330,25686,25657,26330,26133,27750,27170,27229,29872,29398,30571,31292,30667,29967,29789
          Plastic materials,9277,9151,9323,9193,8592,8801,8532,8230,8086,8089,8158,8217,8936,8302,8376,9146,9133,9597,9685,9720,9470,9296
"          Fertilizers, pesticides, and insecticides",2410,2384,2305,2406,2283,2279,2174,1982,1818,1654,2129,1853,2026,2078,2032,2185,2140,2193,2261,2296,2301,2186
          Industrial inorganic chemicals,2299,2282,2315,2333,2198,2266,2275,2092,2077,2075,1991,2044,2166,2241,2277,2517,2553,2465,2565,2400,2440,2439
          Industrial organic chemicals,7643,8618,8524,8388,7724,7801,7654,6840,6532,6701,6645,6430,7049,6809,6733,7717,7398,7896,8256,7857,7326,7600
          Other chemicals,7441,7701,7504,7678,7510,7380,7456,7187,7173,7138,7407,7589,7573,7740,7811,8306,8173,8420,8525,8393,8430,8267
        Building materials except metals,3821,3889,3896,3926,3658,3565,3401,3414,3406,3475,3480,3490,3589,3598,3749,3875,3841,3881,3687,3457,3336,3307
        Other nonmetals,8746,8893,8929,8955,8839,8781,8772,8625,8358,8433,8447,8598,8804,8705,8858,9037,9160,9300,9208,9096,8995,8800
        Metals and nonmetallic products,21911,22090,23143,22504,20950,20391,18997,17589,17380,17668,18650,18416,18535,19017,19697,21197,21890,21881,21076,21156,21122,20623
          Steelmaking materials,2271,2302,2565,2251,1691,1568,1349,1145,1028,1204,1206,1511,1509,1566,1761,1959,2150,2085,2131,2017,1904,2117
          Iron and steel products,4628,4733,4781,4834,4639,4111,3937,3662,3533,3606,3640,3693,4010,4203,4105,4241,4315,4353,3736,3657,3717,3448
          Nonferrous metals,8183,8157,8596,8397,7866,7757,7224,6451,6642,6769,7662,6894,6643,6898,7367,8204,8394,8356,8188,8490,8283,8117
            Precious metals except nonmonetary gold,1928,1941,2001,1712,1722,1644,1491,1464,1485,1284,1492,1439,1327,1484,1714,2109,2424,2162,2051,2051,2343,2215
            Bauxite and aluminum,2159,2173,2304,2281,2062,2136,2083,1959,1795,2062,2778,1832,1853,1892,1950,2165,2137,2268,2122,2209,1960,1885
            Copper,2096,2041,2233,2387,2035,1962,1804,1490,1603,1511,1548,1524,1414,1540,1552,1665,1798,1678,1759,2071,1822,1779
            Other nonferrous metals,2000,2002,2058,2016,2048,2015,1847,1537,1758,1913,1844,2099,2049,1982,2150,2264,2036,2248,2255,2160,2158,2237
          Other metals and nonmetallic products,6828,6898,7201,7022,6753,6955,6486,6331,6177,6089,6143,6318,6373,6350,6464,6793,7031,7087,7021,6991,7219,6942
    Capital goods except automotive,135775,137723,139151,139109,137112,136573,133822,132298,130465,130081,128838,130617,130633,130653,135026,137172,139006,141615,140316,142219,142068,135685
      Machinery and equipment except consumer-type,107197,107611,109012,108083,104833,104887,103318,100690,99302,98092,97463,98744,99841,99832,102081,105537,105985,107678,106904,106054,106136,104402
"        Electric-generating machinery, electric apparatus, and parts",13562,14053,14296,14357,13883,14042,14029,13436,13549,12970,13382,13730,13797,13438,13574,14118,14344,14660,14400,14262,14114,13982
"        Oil-drilling, mining, and construction machinery",7510,7391,7243,7416,6370,5830,5521,5416,4668,4149,4046,4135,4195,4209,4573,4961,4877,4989,5242,5181,5014,5033
"        Industrial engines, pumps, and compressors",7308,7665,7875,7698,7385,7097,6987,6858,6858,6316,6310,6552,6565,6224,6141,6323,6241,6324,6389,6388,6368,6265
        Machine tools and metalworking machinery,1773,2025,1864,1962,1928,1838,1809,1709,1608,1706,1603,1612,1668,1660,1652,1702,1811,1899,1864,1685,1645,1758
"        Measuring, testing, and control instruments",6380,6278,6262,6237,6219,6114,5939,5712,5731,5719,5776,5845,5770,5934,5817,6100,6382,6468,6609,6590,6484,6152
        Other industrial machinery,20185,19835,20379,20305,19873,19653,20021,18505,17923,17833,17832,18392,19255,19758,19982,20922,21033,21429,21181,20494,20065,20031
        Other service-industry and agricultural machinery,4950,4988,5082,4591,4435,4551,4463,4481,4287,4138,4124,4253,4368,4303,4517,4547,4640,4626,4559,4600,4660,4483
        Computers,4225,4357,4141,4170,4191,3951,3948,3861,3693,3721,3726,3617,3638,3842,3813,4088,4022,4041,4163,4160,4132,4190
"        Computer accessories, peripherals, and parts",8006,7979,8089,7840,7436,7721,7867,7871,8113,7855,7231,7102,7349,7508,7624,8192,8232,8631,7821,8445,8862,8190
        Semiconductors,10941,10794,11103,10954,10817,10772,10705,10518,10964,11135,10985,11080,11628,11707,11961,12540,12226,12244,11966,12163,12297,12020
        Telecommunications equipment,10150,9737,10378,10398,10177,11108,10172,10397,9897,10501,10340,10429,9607,9114,10074,9461,9257,9220,9607,9157,9204,9212
        Other office and business machines,742,747,739,750,702,696,636,617,632,572,589,559,581,581,601,592,617,630,594,602,592,570
"        Scientific, hospital, and medical equipment and parts",11465,11762,11561,11405,11416,11514,11222,11310,11377,11477,11519,11436,11420,11555,11752,11991,12302,12516,12509,12329,12698,12516
"      Civilian aircraft, engines, and parts",27015,28431,28565,29118,30652,29776,28814,30246,29823,30548,30057,30506,29545,29259,31736,30427,31792,32389,31965,34584,34557,29867
"        Civilian aircraft, complete, all types",13767,14716,14619,15127,16859,15635,15105,15762,14865,15886,15367,14555,13741,13686,15033,13573,14534,13518,13012,15461,14679,9346
        Engines and parts,13248,13715,13945,13991,13793,14141,13709,14484,14958,14662,14690,15951,15804,15573,16703,16853,17258,18870,18953,19122,19879,20521
      Other transportation equipment,1562,1680,1574,1909,1628,1910,1690,1363,1340,1442,1318,1366,1246,1562,1210,1209,1230,1549,1447,1581,1375,1416
"    Automotive vehicles, parts, and engines",38110,40065,41265,40371,37187,38003,38705,37999,36962,37913,38088,37435,39467,39106,39092,40200,41756,40392,38864,37827,41274,40255
      To Canada,14112,14875,15439,15557,13861,14392,14398,14581,14435,14965,15196,14268,15502,15174,15497,15607,16347,15585,14953,14623,15692,15297
"        Passenger cars, new and used",3496,3575,3828,3727,3538,3974,3478,3319,3251,3732,3959,3280,3528,3353,3611,3914,4009,3540,3487,3352,3393,3253
"        Trucks, buses, and special purpose vehicles",3360,3735,3910,4046,3297,3437,3252,3597,3428,3597,3587,3317,3918,3758,4370,4133,4485,4370,4114,3973,4982,4722
        Engines and engine parts,1292,1316,1386,1401,1261,1268,1362,1412,1497,1485,1550,1565,1777,1740,1596,1674,1709,1627,1561,1423,1503,1600
        Other parts and accessories,5964,6249,6315,6382,5765,5713,6306,6253,6258,6151,6100,6106,6279,6322,5921,5886,6145,6049,5790,5876,5814,5722
      To other areas,23999,25190,25826,24814,23326,23611,24306,23419,22527,22948,22892,23167,23965,23932,23595,24593,25409,24807,23911,23203,25583,24958
"        Passenger cars, new and used",10835,12050,12031,11083,9557,9763,10989,9920,9505,9762,9878,9763,10045,9799,8636,9625,10110,9389,8410,8037,10227,9680
"        Trucks, buses, and special purpose vehicles",1173,1137,1311,1206,1175,1117,1014,1050,1087,1150,905,940,1040,1081,1318,1106,1087,1196,1193,1291,1304,1142
        Engines and engine parts,3158,3167,3388,3288,3145,2949,2829,2774,2763,3093,2916,2902,3132,3357,3309,3443,3609,3728,3752,3451,3812,3926
        Other parts and accessories,8832,8836,9096,9238,9450,9783,9474,9674,9172,8943,9193,9561,9749,9695,10331,10419,10603,10494,10555,10425,10240,10211
    Consumer goods except food and automotive,48072,50186,50079,50060,50039,49057,49193,49029,47805,47924,49008,48521,49072,49388,48898,49810,51169,51264,51121,51917,52963,51465
      Nondurable goods,21059,21885,22477,22402,22902,22550,22921,23224,22509,22304,22199,21888,22588,21849,21401,21816,22192,23072,23090,23820,24925,23995
"        Apparel, footwear, and household goods",2664,2741,2812,2847,2751,2905,2770,2696,2605,2629,2573,2499,2590,2579,2608,2694,2746,2739,2753,2815,2835,2806
"        Medicinal, dental, and pharmaceutical products",11964,12647,13240,13178,13821,13276,13662,14138,13562,13338,13276,12967,13557,12882,12236,12484,12852,13577,13740,14346,15377,14543
        Toiletries and cosmetics,2972,3039,3019,3028,2962,3035,3035,3003,3030,3002,3048,3053,3163,3141,3211,3300,3292,3375,3335,3391,3484,3524
        Other nondurable goods,3460,3457,3407,3348,3368,3334,3454,3387,3311,3335,3302,3369,3278,3246,3345,3338,3302,3380,3262,3267,3229,3123
      Durable goods,27013,28301,27602,27658,27136,26507,26272,25805,25296,25620,26810,26633,26484,27539,27497,27994,28977,28193,28031,28098,28038,27470
"        Televisions, video receivers, and other video equipment",1068,1175,1110,1225,1215,1184,1242,1160,1251,1135,1248,1198,1269,1286,1205,1206,1160,1227,1096,1040,1069,1127
"        Radio and stereo equipment, including recorded media",1191,1232,1237,1149,1093,1080,1109,1022,984,967,956,963,979,951,955,964,941,913,921,896,907,917
"        Toys and sporting goods, including bicycles",2579,2708,2578,2533,2438,2447,2291,2218,2284,2204,2333,2350,2413,2393,2541,2626,2590,2580,2422,2423,2352,2373
        Household and kitchen appliances and other household goods,9712,9892,10256,10143,10079,9856,10057,9649,9402,9327,9755,9880,9828,10831,10138,10317,10210,10320,10271,10399,10353,10105
          Household furnishings and related products,1157,1217,1245,1211,1208,1184,1146,1141,1160,1136,1147,1167,1162,1187,1201,1231,1212,1264,1233,1247,1248,1251
          Household and kitchen appliances,1666,1633,1683,1711,1643,1708,1624,1580,1556,1501,1548,1544,1570,1528,1556,1598,1642,1606,1570,1610,1577,1489
"          Other household goods, including cell phones",6889,7041,7328,7222,7228,6964,7288,6928,6686,6689,7061,7169,7096,8116,7381,7489,7357,7450,7468,7542,7529,7366
        Jewelry and collectibles,5758,5793,5704,6042,5921,5856,5685,5990,5364,5883,6322,5709,5901,5798,6362,6333,7146,6617,6494,6802,6368,6151
        Gem diamonds and other gemstones,5606,6333,5602,5468,5389,5048,4967,4805,5073,5244,5214,5553,5107,5279,5216,5439,5749,5400,5777,5471,5853,5616
