,        Exports of goods and services,Exports of goods1,"    Foods, feeds, and beverages",    Industrial supplies and materials,        Durable goods,        Nondurable goods,            Petroleum and products,"            Nondurable goods, excluding petroleum and products","    Capital goods, except automotive","        Civilian aircraft, engines, and parts","        Computers, peripherals, and parts",        Other,"    Automotive vehicles, engines, and parts","    Consumer goods, except food and automotive",        Durable goods,        Nondurable goods,    Other2,Exports of services1,    Transport,    Travel (for all purposes including education),    Charges for the use of intellectual property n.e.c.,    Other business services3,    Government goods and services n.e.c.,    Other,        Imports of goods and services,Imports of goods1,"    Foods, feeds, and beverages",    Industrial supplies and materials,        Durable goods,        Nondurable goods,            Petroleum and products,"            Nondurable goods, excluding petroleum and products","    Capital goods, except automotive","        Civilian aircraft, engines, and parts","        Computers, peripherals, and parts",        Other,"    Automotive vehicles, engines, and parts","    Consumer goods, except food and automotive",        Durable goods,        Nondurable goods,    Other,Imports of services1,    Transport,    Travel (for all purposes including education),    Charges for the use of intellectual property n.e.c.,    Other business services3,    Government goods and services n.e.c.,    Other,    Exports of durable goods,    Exports of nondurable goods,    Exports of agricultural goods4,    Exports of nonagricultural goods,    Imports of durable goods,    Imports of nondurable goods,    Imports of nonpetroleum goods
2014 Q2,3.9,3.4,57.3,-4.3,0.6,-6.3,-17.7,4.4,0.1,1.9,-5.3,0.3,-8.7,3,3.4,2.6,41.5,5,4.3,6.3,2,6.5,-11.1,6.1,10.1,10.7,-1.3,16,24.2,12.8,19.4,-1,5.2,-26.3,31.6,3.1,1.6,17.7,35.1,0.4,20.9,7.4,2.5,14.1,4,7.8,5.6,-4.9,0.2,9,50,-0.4,12.6,7.5,9.3
2014 Q3,3.9,3.4,57.3,-4.3,0.6,-6.3,-17.7,4.4,0.1,1.9,-5.3,0.3,-8.7,3,3.4,2.6,41.5,5,4.3,6.3,2,6.5,-11.1,6.1,10.1,10.7,-1.3,16,24.2,12.8,19.4,-1,5.2,-26.3,31.6,3.1,1.6,17.7,35.1,0.4,20.9,7.4,2.5,14.1,4,7.8,5.6,-4.9,0.2,9,50,-0.4,12.6,7.5,9.3
2014 Q4,3.9,3.4,57.3,-4.3,0.6,-6.3,-17.7,4.4,0.1,1.9,-5.3,0.3,-8.7,3,3.4,2.6,41.5,5,4.3,6.3,2,6.5,-11.1,6.1,10.1,10.7,-1.3,16,24.2,12.8,19.4,-1,5.2,-26.3,31.6,3.1,1.6,17.7,35.1,0.4,20.9,7.4,2.5,14.1,4,7.8,5.6,-4.9,0.2,9,50,-0.4,12.6,7.5,9.3
2015 Q1,-4.4,-9.3,-6.6,-5.8,-13.5,-2.4,-1.8,-2.4,-5.3,19.9,-9,-11.6,-27.3,4.7,-5.6,18.7,-53.1,6.5,-9.3,17.7,-12.7,11.8,37.9,2.5,7,8.4,4.9,1.5,3,0.4,0.6,-0.2,6.6,27,-15.6,11.5,2,17.6,9,28.4,38.2,0.6,8.4,25.4,-29.9,-6,-5.6,-7.3,-12.2,-4,-4.8,-9.7,6.7,11.4,9.4
2015 Q2,3.9,6.4,7.4,9.2,-2.8,14.8,30.5,5.9,0.6,-11.7,13.3,3.4,9,-6.2,-8.1,-3.9,109.1,-0.7,15.2,11.1,1.6,-12.7,8.1,0,2.8,3,12.9,-7.4,-11.1,-5.8,-6.1,-5.6,0.6,2.6,-7.4,2.6,27.9,6.4,-1.9,16.3,-24.6,1.8,-2.5,8.9,10.8,-0.4,-2.3,-9.6,2.6,13.1,12.4,5.7,3.1,2.6,3.9
2015 Q3,-3.9,-4.6,-15.7,-7.5,-9.3,-6.8,-9.8,-5.3,-6.4,-14.5,12.3,-5.8,7.8,1.5,-3.8,8.1,7.9,-2.5,2.9,0.9,-2.7,-7.4,22.2,-4,3.3,2.5,-3.2,2.3,1.6,2.5,5.4,-1.9,-3,-8,17.1,-7.3,4.1,5.3,17.3,-6.4,21.3,7.3,13.9,6.6,2.2,8,-9.2,-6.9,-3.9,-5.8,-17.7,-3.2,4.1,-0.4,2.2
2015 Q4,-1.6,-4.1,2.5,-9,-11.3,-8,-2.1,-11.9,-2.7,19.5,2.1,-9.5,-6.3,0.7,-5.3,7.9,-6.9,3.4,-0.6,0.9,-4.2,13.9,-39.3,-7.8,0,-0.8,1.5,-1.3,-6,1.1,2.6,-1.1,1.3,-2.9,-10.2,5.4,-3.1,-3.6,-0.4,-7.2,9.7,3.5,-5.3,15.6,24.7,-0.7,-7.2,-1.9,-4.9,-2.8,-4.5,-4.1,-0.6,-1.2,-1.1
2016 Q1,-3,0.9,-2.2,13,0.9,18.9,57.4,1.1,-2.9,-6.6,14.6,-3.7,-9.1,-3.5,-4.1,-2.7,8,-10,-10.8,-3.3,-6.2,-14.3,-28.8,-7.5,0.9,-0.1,11.3,5.5,0.1,8.6,13,3.6,-5.4,-33.8,-8.1,-0.4,-3.5,-3.4,-4.2,-2.6,22.3,5.4,7.9,16.9,2.9,-0.2,-1.3,-0.8,-3.3,8.8,-2.2,1.2,-3.1,5.9,-1.1
2016 Q2,4,2.7,-1.8,6.4,2.7,8.2,31.9,-4.1,-0.9,8.4,-1.7,-3.8,11.4,1.2,7.6,-5.7,4,6.2,9.1,-8.4,12.8,11,88.2,-10.3,0.8,1.1,-2.2,3,0,4.7,-0.7,11.7,10.4,51.2,-1.7,9.6,-3,-0.1,-3.5,3.6,-25.4,-0.4,9.5,-4.8,16.3,-4.9,-1.2,4,2.5,2.9,-0.6,3.1,1.4,0.4,1.1
2016 Q3,6.1,7.2,106.6,-0.2,11.2,-4.8,-29.8,14.5,-1.4,-7.3,-13.1,2.3,2.7,7.8,20.9,-5.8,-9.8,4.1,3,8.3,-0.2,4.1,6.8,-7.4,4.7,3.7,-15.5,7.2,10.2,5.6,13.4,-3.6,2,-37.5,2.7,8,7.3,2.2,14.3,-9.4,18.8,9.1,5.3,11.1,70.6,0.5,-2.6,12.6,2.8,15.4,112.8,-0.5,7.3,-3,2.9
2016 Q4,-2.5,-0.8,-23.5,-4.4,-5.2,-4,-14.8,3.3,6.7,3.4,-3.7,9.2,-6.5,-0.4,0.7,-1.8,41.4,-5.7,-8.3,-6.4,-9.7,1.1,-53.8,-9,7.5,8.1,10.4,9.1,14.1,6.5,1.7,13.3,6.8,-13.5,13.7,7.5,2.7,8.4,11.8,4.6,21.5,5.2,0.4,19.2,-22.6,5.3,23.1,16.2,3.1,-7.3,-21.8,2,8.2,7.7,8.5
2017 Q1,6.1,5.9,-9.6,28.2,-2.6,43.7,78.3,26.1,-0.9,-19.3,14,4.4,22.1,12,0.8,27.1,-58.6,6.3,3.9,-4.2,1.1,14.2,68.8,-5.8,4.1,4.1,6.2,0.5,1.8,-0.3,13.7,-18.8,10.1,22,3.6,10.6,5.9,1.6,5.9,-3,-5.4,3.8,5.6,12.4,15.3,-4,-0.6,25.5,-0.3,17.3,-5.4,7.2,6.6,-0.5,3.2
2017 Q2,1.6,2.2,0.1,4.8,6.3,4.3,17.2,-3.3,-0.5,-6,10,0.1,-4,0.2,15.5,-15.7,47.7,0.4,3.6,3.8,1.4,-2.6,-2.6,-0.8,3.5,3.4,1.7,-4.4,6.5,-9.6,-18.9,7.5,12.1,5.3,23.2,10.1,-0.3,6.6,18.6,-5.7,-8.3,4,2.5,-0.4,12,6.6,-13.5,29.1,2.7,1.4,-3.3,2.8,8.8,-6.3,5.7
2017 Q3,4.4,2.2,1.3,-6.3,11.4,-12.5,-19.1,-7.3,13.1,35.1,4,7.7,-0.7,-6.7,-2.6,-11.6,16.6,8.8,20.2,9.9,-1.3,9.8,12,-1.1,1.3,0.9,2.1,-5.5,-5.1,-5.7,-13.9,7.2,12,16.8,31.2,6.6,-0.6,-5.6,-5.5,-5.7,7.5,2.8,-4,-2.2,7.8,9.2,-16.5,28.6,8.7,-8,-0.6,2.5,3.1,-3.4,2.3
2017 Q4,10.1,13.6,-11.7,34,14.8,42.6,74,22.7,4.5,-17.3,33.7,9.5,12.1,7.1,7.2,7,42.1,3.8,-3.3,-0.6,10.7,6.3,-7.2,9.9,14,16.4,9.4,6.8,8.6,5.9,5.5,6.7,16.3,-4.5,0,24,4.1,32.8,37.4,27.4,28.5,4.5,-2.2,12.5,30.6,-2,-4.3,24.3,8.5,22.7,-10.7,16.4,17,15.2,17.4
2018 Q1,0.8,1.2,-9.8,-3.9,2,-6,-9.9,-2.7,5.8,16.5,0.1,3.2,14.1,9.9,14.8,4,-25.1,-0.1,6.3,2.9,8.5,-6.2,5.7,-4.2,0.6,1.4,12.2,-6,3.7,-10.6,-13.9,-4.8,3.6,-9,18.1,1.2,7.7,11.9,-2.4,30.6,-41.7,-2.8,1.1,4.9,-7.7,-8.6,-3.4,29.6,6.3,-6.6,-6.3,2,0.9,2.4,3.1
2018 Q2,5.8,12,74.2,17.7,-4.2,27,61.5,3,5.5,5,13.3,4.7,-13.6,0.2,-10.2,15.1,33.8,-5.3,3.1,-7.5,-17.6,-4.1,39.4,6.7,0.3,0.8,10.1,6.4,-0.5,10.2,11.3,8.7,8.9,40.3,9.3,5.8,-5.7,-12,-16.4,-7,13.5,-2,1.8,0.8,-15.5,-3.7,10.5,16.2,-0.2,34.4,66.5,7.7,-1,4.1,-0.2
2018 Q3,-6.2,-9.1,-19.5,-6.7,-6.1,-6.8,-12.4,-1.3,-4.6,-7.4,-19.6,-1.5,-14.2,-0.8,-2.8,1.7,-45.5,-0.1,-3.7,-7.9,-3.6,8,-18.7,4.9,8.6,9.2,9.6,5,3.6,5.7,6.1,5.1,6.5,4.3,8.4,6.1,15.4,9.4,24.7,-5.1,27.3,6.1,2.4,8.5,0.1,6.1,22.4,10.7,-7.9,-10.9,-17.9,-8.2,12.3,3.9,9.6
2018 Q4,1.5,2.6,-41.3,9.9,-0.1,13.4,28.5,0.7,5.6,33.7,27.4,-5,-10,7.1,2.3,13.3,59.3,-0.7,-3.4,1.6,-6.4,-0.2,10,7,3.5,2.3,-6.1,-8.5,2.3,-13.5,-25.5,10.3,-1.6,7.4,-18.8,2.9,9,17.4,11.2,24.6,-5.2,8.9,9.5,15.9,19.3,3.3,1.4,3.7,3.3,1.6,-37.1,7.3,3.6,0,5.6
2019 Q1,4.1,4.6,39.9,-1.9,-4.4,-1.1,-3.1,0.9,-1.1,-4.2,20.4,-2.5,39.9,8.6,1.7,17.2,-28.3,3.3,2.7,9.6,-3.7,5.2,-5.5,-28.4,-1.5,-2.8,2.9,-12.4,-15.1,-11,-11.5,-10.2,-5.9,55.1,-8.2,-10.9,-1.3,5.3,8.5,2,5.1,4.5,-3.6,9,0.5,7.2,2.7,0.8,3.2,6.7,32.3,2.4,-2.7,-3.1,-2
2019 Q2,4.1,4.6,39.9,-1.9,-4.4,-1.1,-3.1,0.9,-1.1,-4.2,20.4,-2.5,39.9,8.6,1.7,17.2,-28.3,3.3,2.7,9.6,-3.7,5.2,-5.5,-28.4,-1.5,-2.8,2.9,-12.4,-15.1,-11,-11.5,-10.2,-5.9,55.1,-8.2,-10.9,-1.3,5.3,8.5,2,5.1,4.5,-3.6,9,0.5,7.2,2.7,0.8,3.2,6.7,32.3,2.4,-2.7,-3.1,-2
